,PID,CM_ID,GIS_ID,ST_NUM,ST_NAME,ST_NAME_SUF,UNIT_NUM,ZIPCODE,PTYPE,LU,AV_LAND,AV_BLDG,AV_TOTAL,GROSS_TAX,LAND_SF,YR_BUILT,YR_REMOD,GROSS_AREA,LIVING_AREA,NUM_FLOORS,STRUCTURE_CLASS,R_BLDG_STYL,R_ROOF_TYP,R_EXT_FIN,R_TOTAL_RMS,R_BDRMS,R_FULL_BTH,R_HALF_BTH,R_BTH_STYLE,R_BTH_STYLE2,R_BTH_STYLE3,R_KITCH,R_KITCH_STYLE,R_KITCH_STYLE2,R_KITCH_STYLE3,R_HEAT_TYP,R_AC,R_FPLACE,R_EXT_CND,R_OVRALL_CND,R_INT_CND,R_INT_FIN,R_VIEW,S_NUM_BLDG,S_BLDG_STYL,S_UNIT_RES,S_UNIT_COM,S_UNIT_RC,S_EXT_FIN,S_EXT_CND,U_BASE_FLOOR,U_NUM_PARK,U_CORNER,U_ORIENT,U_TOT_RMS,U_BDRMS,U_FULL_BTH,U_HALF_BTH,U_BTH_STYLE,U_BTH_STYLE2,U_BTH_STYLE3,U_KITCH_TYPE,U_KITCH_STYLE,U_HEAT_TYP,U_AC,U_FPLACE,U_INT_FIN,U_INT_CND,U_VIEW,lat,lng
21,502554000,502554000,502554000,91,BEACON,ST,,2108,995,CM,0,0,0,0,2519.0,1899,2008,0.0,0.0,5.0,R,,,,,,,,,,,,,,,,,,,,,,,,RE,3.0,0.0,0.0,B,G,,,,,,,,,,,,,,,,,,,,42.3557709,-71.07201839999999
204,100145000,100145000,100145000,410,SARATOGA,ST,,2128,995,CM,0,0,0,0,1653.0,1900,2015,0.0,0.0,3.0,R,RE,F,M,16.0,5.0,3.0,0.0,S,S,S,3.0,S,S,S,S,N,0.0,A,A,A,N,A,,RE,3.0,0.0,0.0,B,A,,,,,,,,,,,,,,,,,,,,42.3793195,-71.029545
215,100153000,100153000,100153000,265,LEXINGTON,ST,,2128,995,CM,0,0,0,0,1900.0,1899,2005,0.0,0.0,3.0,D,,,,,,,,,,,,,,,,,,,,,,,,RM,4.0,0.0,0.0,M,A,,,,,,,,,,,,,,,,,,,,42.3803,-71.029997
220,100154000,100154000,100154000,267,LEXINGTON,ST,,2128,995,CM,0,0,0,0,1900.0,1910,2000,0.0,0.0,3.0,D,,,,,,,,,,,,,,,,,,,,,,,,RM,4.0,0.0,0.0,W,A,,,,,,,,,,,,,,,,,,,,42.380325,-71.029933
304,100177000,100177000,100177000,5,SHELBY,ST,,2128,995,CM,0,0,0,0,2087.0,1900,2016,0.0,0.0,3.0,R,,,,,,,,,,,,,,,,,,,,,,,,DK,3.0,0.0,0.0,M,G,,,,,,,,,,,,,,,,,,,,42.3808624,-71.02821010000001
314,100181000,100181000,100181000,318,PRINCETON,ST,,2128,995,CM,0,0,0,0,2500.0,1890,2016,0.0,0.0,3.0,R,,,,,,,,,,,,,,,,,,,,,,,,DK,3.0,0.0,0.0,M,G,,,,,,,,,,,,,,,,,,,,42.3805232,-71.0283958
332,100194000,100194000,100194000,284,PRINCETON,ST,,2128,995,CM,0,0,0,0,2500.0,1900,2016,3318.0,1916.0,2.0,R,,,,,,,,,,,,,,,,,,,,,,,,TH,2.0,0.0,0.0,M,A,,,,,,,,,,,,,,,,,,,,42.380184,-71.029482
337,100196000,100196000,100196000,276,PRINCETON,ST,,2128,995,CM,0,0,0,0,2500.0,1900,0,0.0,0.0,3.0,R,DK,F,M,15.0,7.0,3.0,0.0,S,S,S,3.0,S,S,S,W,N,0.0,A,A,A,N,A,,DK,3.0,0.0,0.0,F,G,,,,,,,,,,,,,,,,,,,,42.3800621,-71.029603
395,100250000,100250000,100250000,266,LEXINGTON,ST,,2128,995,CM,0,0,0,0,2500.0,1900,2016,0.0,0.0,3.0,R,,,,,,,,,,,,,,,,,,,,,,,,DK,3.0,0.0,0.0,M,G,,,,,,,,,,,,,,,,,,,,42.380596,-71.0302298
405,100257000,100257000,100257000,325,E EAGLE,ST,,2128,995,CM,0,0,0,0,2231.0,1890,2017,0.0,0.0,3.0,R,DK,F,M,14.0,6.0,5.0,1.0,M,M,M,3.0,M,M,M,F,C,0.0,G,G,G,N,F,,DK,3.0,0.0,0.0,M,G,,,,,,,,,,,,,,,,,,,,42.3812498,-71.0277483
514,100378000,100378000,100378000,447,FRANKFORT,ST,,2128,995,CM,0,0,0,0,3000.0,1900,0,0.0,0.0,3.0,R,DK,F,M,17.0,8.0,3.0,0.0,N,N,N,3.0,S,N,N,W,N,0.0,G,A,A,N,A,,DK,3.0,0.0,0.0,M,G,,,,,,,,,,,,,,,,,,,,42.3806028,-71.0223597
657,100536000,100536000,100536000,910,SARATOGA,ST,,2128,995,CM,0,0,0,0,30000.0,1960,2009,0.0,0.0,3.0,C,,,,,,,,,,,,,,,,,,,,,,,,FS,21.0,0.0,0.0,F,G,,,,,,,,,,,,,,,,,,,,42.386308,-71.01138
792,100636000,100636000,100636000,64,BYRON,ST,,2128,995,CM,0,0,0,0,2500.0,1905,2015,4620.0,3465.0,3.0,R,,,,,,,,,,,,,,,,,,,,,,,,DK,3.0,0.0,0.0,M,G,,,,,,,,,,,,,,,,,,,,42.3847704,-71.0189702
798,100639000,100639000,100639000,56,BYRON,ST,,2128,995,CM,0,0,0,0,3333.0,1900,2016,0.0,0.0,2.0,R,TF,F,M,11.0,5.0,3.0,0.0,M,M,M,2.0,M,M,,W,C,2.0,G,G,G,N,A,,FS,2.0,0.0,0.0,M,E,,,,,,,,,,,,,,,,,,,,42.384834,-71.0193417
993,100879000,100879000,100879000,573,BENNINGTON,ST,,2128,995,CM,0,0,0,0,2040.0,1940,0,0.0,0.0,2.0,R,,,,,,,,,,,,,,,,,,,,,,,,FS,2.0,0.0,0.0,W,A,,,,,,,,,,,,,,,,,,,,42.382509,-71.017925
1008,100892000,100892000,100892000,607,BENNINGTON,ST,,2128,995,CM,0,0,0,0,2500.0,1890,2011,0.0,0.0,2.0,R,,,,,,,,,,,,,,,,,,,,,,,,FS,2.0,0.0,0.0,F,G,,,,,,,,,,,,,,,,,,,,42.3829692,-71.01684589999999
1011,100893000,100893000,100893000,609 - 611,BENNINGTON,ST,,2128,995,CM,0,0,0,0,2500.0,1900,0,3817.0,2358.0,2.0,R,,,,,,,,,,,,,,,,,,,,,,,,FS,2.0,0.0,0.0,W,A,,,,,,,,,,,,,,,,,,,,42.3829354,-71.0167161
1055,100929000,100929000,100929000,614,BENNINGTON,ST,,2128,995,CM,0,0,0,0,2437.0,1900,0,0.0,0.0,3.0,R,,,,,,,,,,,,,,,,,,,,,,,,DK,3.0,0.0,0.0,A,A,,,,,,,,,,,,,,,,,,,,42.383439,-71.016871
1059,100930000,100930000,100930000,610,BENNINGTON,ST,,2128,995,CM,0,0,0,0,2667.0,1900,2015,0.0,0.0,3.0,R,,,,,,,,,,,,,,,,,,,,,,,,DK,3.0,0.0,0.0,M,A,,,,,,,,,,,,,,,,,,,,42.3833978,-71.01702
1161,101026000,101026000,101026000,841,SARATOGA,ST,,2128,995,CM,0,0,0,0,4500.0,1900,2005,0.0,0.0,3.0,R,,,,,,,,,,,,,,,,,,,,,,,,DK,3.0,0.0,0.0,M,A,,,,,,,,,,,,,,,,,,,,42.38482279999999,-71.0138626
1169,101026060,101026060,101026060,849,SARATOGA,ST,,2128,995,CM,0,0,0,0,3266.0,1900,2005,0.0,0.0,3.0,R,,,,,,,,,,,,,,,,,,,,,,,,DK,3.0,0.0,0.0,M,A,,,,,,,,,,,,,,,,,,,,42.3849314,-71.01363049999999
1179,101033000,101033000,101033000,863,SARATOGA,ST,,2128,995,CM,0,0,0,0,2416.0,1900,2004,0.0,0.0,3.0,D,,,,,,,,,,,,,,,,,,,,,,,,DK,4.0,0.0,0.0,M,A,,,,,,,,,,,,,,,,,,,,42.3851618,-71.0130268
1266,101143010,101143010,101143010,54,HOMER,ST,,2128,995,CM,0,0,0,0,3901.0,1900,2009,0.0,0.0,2.0,R,,,,,,,,,,,,,,,,,,,,,,,,FS,2.0,0.0,0.0,M,A,,,,,,,,,,,,,,,,,,,,42.3815564,-71.0175308
1315,101185000,101185000,101185000,73,HOMER,ST,,2128,995,CM,0,0,0,0,3000.0,1910,2004,0.0,0.0,3.0,R,,,,,,,,,,,,,,,,,,,,,,,,DK,3.0,0.0,0.0,M,A,,,,,,,,,,,,,,,,,,,,42.38155099999999,-71.0164164
1321,101187001,101187001,101187001,83,HOMER,ST,,2128,995,CM,0,0,0,0,3700.0,1910,1996,0.0,0.0,3.0,R,,,,,,,,,,,,,,,,,,,,,,,,DK,3.0,0.0,0.0,M,A,,,,,,,,,,,,,,,,,,,,42.3816808,-71.0160914
1472,101330000,101330000,101330000,40,ST EDWARD,RD,,2128,995,CM,0,0,0,0,5009.0,1910,2015,6423.0,4212.0,3.0,R,,,,,,,,,,,,,,,,,,,,,,,,DK,3.0,0.0,0.0,M,A,,,,,,,,,,,,,,,,,,,,42.3858432,-71.0027186
1488,101339000,101339000,101339000,1062,SARATOGA,ST,,2128,995,CM,0,0,0,0,6250.0,1910,2003,0.0,0.0,3.0,R,,,,,,,,,,,,,,,,,,,,,,,,DK,3.0,0.0,0.0,M,A,,,,,,,,,,,,,,,,,,,,42.3858806,-71.0040188
1496,101344000,101344000,101344000,1044,SARATOGA,ST,,2128,995,CM,0,0,0,0,3004.0,1900,1999,0.0,0.0,2.0,R,,,,,,,,,,,,,,,,,,,,,,,,FS,2.0,0.0,0.0,M,A,,,,,,,,,,,,,,,,,,,,42.38609539999999,-71.0046224
1538,101381000,101381000,101381000,50,BARNES,AV,,2128,995,CM,0,0,0,0,4935.0,1900,2010,0.0,0.0,3.0,R,,,,,,,,,,,,,,,,,,,,,,,,DK,3.0,0.0,0.0,M,A,,,,,,,,,,,,,,,,,,,,42.38659310000001,-71.0034151
1727,101533000,101533000,101533000,26,SWAN,AV,,2128,995,CM,0,0,0,0,5246.0,1920,2012,0.0,0.0,3.0,R,BW,H,W,2.0,1.0,1.0,0.0,N,,,1.0,N,,,W,N,0.0,A,A,A,N,A,,FS,2.0,0.0,0.0,M,G,,,,,,,,,,,,,,,,,,,,42.389176,-70.997108
1768,101586000,101586000,101586000,9,BREED,ST,,2128,995,CM,0,0,0,0,2497.0,1900,2004,0.0,0.0,3.0,R,,,,,,,,,,,,,,,,,,,,,,,,DK,3.0,0.0,0.0,W,A,,,,,,,,,,,,,,,,,,,,42.387414,-71.00638599999999
1778,101590010,101590010,101590010,25,BREED,ST,,2128,995,CM,0,0,0,0,2944.0,1910,1980,0.0,0.0,3.0,R,,,,,,,,,,,,,,,,,,,,,,,,RE,3.0,0.0,0.0,B,A,,,,,,,,,,,,,,,,,,,,42.3880089,-71.00626
1784,101593000,101593000,101593000,36,ASHLEY,ST,,2128,995,CM,0,0,0,0,3060.0,1920,1987,0.0,0.0,4.0,C,,,,,,,,,,,,,,,,,,,,,,,,FS,4.0,0.0,0.0,B,A,,,,,,,,,,,,,,,,,,,,42.3879262,-71.00578329999999
1827,101618000,101618000,101618000,12,ASHLEY,ST,,2128,995,CM,0,0,0,0,4366.0,1910,2015,4116.0,2614.0,2.0,R,,,,,,,,,,,,,,,,,,,,,,,,FS,3.0,0.0,0.0,M,G,,,,,,,,,,,,,,,,,,,,42.3878101,-71.0047269
1911,101677000,101677000,101677000,167 169,LEYDEN,ST,,2128,995,CM,0,0,0,0,5500.0,1900,2001,0.0,0.0,3.0,R,,,,,,,,,,,,,,,,,,,,,,,,DK,3.0,0.0,0.0,M,A,,,,,,,,,,,,,,,,,,,,42.388585,-71.005293
1956,101716000,101716000,101716000,1098,BENNINGTON,ST,,2128,995,CM,0,0,0,0,3440.0,1900,2006,0.0,0.0,3.0,R,,,,,,,,,,,,,,,,,,,,,,,,DK,3.0,0.0,0.0,M,A,,,,,,,,,,,,,,,,,,,,42.3880341,-71.0029508
1980,101737000,101737000,101737000,41,BOARDMAN,ST,,2128,995,CM,0,0,0,0,6756.0,1910,2016,0.0,0.0,2.0,R,TF,F,M,10.0,4.0,2.0,0.0,M,M,,2.0,M,M,,F,C,0.0,G,G,G,N,A,,FS,2.0,0.0,0.0,M,G,,,,,,,,,,,,,,,,,,,,42.3883906,-71.0093586
2112,101840000,101840000,101840000,26,GLADSTONE,ST,,2128,995,CM,0,0,0,0,4476.0,1905,2005,0.0,0.0,3.0,R,,,,,,,,,,,,,,,,,,,,,,,,DK,3.0,0.0,0.0,F,A,,,,,,,,,,,,,,,,,,,,42.3890031,-71.0008148
2178,101894000,101894000,101894000,148 150,LEYDEN,ST,,2128,995,CM,0,0,0,0,3900.0,1910,2008,0.0,0.0,3.0,D,,,,,,,,,,,,,,,,,,,,,,,,FS,4.0,0.0,0.0,M,A,,,,,,,,,,,,,,,,,,,,42.3889576,-71.0060834
2237,101946000,101946000,101946000,45 R45,GLADSTONE,ST,,2128,995,CM,0,0,0,0,7500.0,1915,0,0.0,0.0,3.0,R,,,,,,,,,,,,,,,,,,,,,,,,FS,2.0,0.0,0.0,W,G,,,,,,,,,,,,,,,,,,,,42.3892668,-71.0016258
2359,102072000,102072000,102072000,188,GLADSTONE,ST,,2128,995,CM,0,0,0,0,4803.0,1960,2006,0.0,0.0,2.0,D,,,,,,,,,,,,,,,,,,,,,,,,FS,4.0,0.0,0.0,W,A,,,,,,,,,,,,,,,,,,,,42.38971230000001,-71.00819779999999
2476,102243000,102243000,102243000,27,ORIENT,AV,,2128,995,CM,0,0,0,0,3000.0,1910,2006,0.0,0.0,2.5,R,,,,,,,,,,,,,,,,,,,,,,,,FS,2.0,0.0,0.0,W,A,,,,,,,,,,,,,,,,,,,,42.390232,-70.999979
2723,102574000,102574000,102574000,54,PRINCETON,ST,,2128,995,CM,0,0,0,0,4423.0,1850,2015,0.0,0.0,2.5,R,SD,G,C,10.0,6.0,5.0,0.0,M,M,M,2.0,M,M,,F,C,0.0,G,G,G,N,A,,SD,2.0,0.0,0.0,C,G,,,,,,,,,,,,,,,,,,,,42.3772399,-71.0372292
2798,102629000,102629000,102629000,335 337,MERIDIAN,ST,,2128,995,CM,0,0,0,0,1800.0,1910,2005,0.0,0.0,3.0,D,,,,,,,,,,,,,,,,,,,,,,,,RM,4.0,0.0,0.0,M,A,,,,,,,,,,,,,,,,,,,,42.3782212,-71.03898149999999
2809,102634000,102634000,102634000,349,MERIDIAN,ST,,2128,995,CM,0,0,0,0,1931.0,1880,2016,0.0,0.0,3.0,R,SD,F,M,17.0,9.0,3.0,0.0,M,M,M,3.0,M,M,M,W,N,0.0,G,G,G,N,A,,SD,3.0,0.0,0.0,M,G,,,,,,,,,,,,,,,,,,,,42.3785159,-71.039101
2820,102642000,102642000,102642000,31,EUTAW,ST,,2128,995,CM,0,0,0,0,2750.0,1850,2015,0.0,0.0,2.5,R,SD,G,B,10.0,6.0,3.0,1.0,M,M,M,2.0,M,M,,F,C,0.0,A,G,G,N,A,,SD,2.0,0.0,0.0,B,A,,,,,,,,,,,,,,,,,,,,42.378806,-71.0384121
2857,102676000,102676000,102676000,3,MONMOUTH,ST,,2128,995,CM,0,0,0,0,1250.0,1900,2016,0.0,0.0,3.0,R,SD,F,M,15.0,6.0,3.0,0.0,M,M,M,3.0,M,M,M,F,C,0.0,G,G,G,N,A,,SD,3.0,0.0,0.0,M,A,,,,,,,,,,,,,,,,,,,,42.3793371,-71.0389704
2882,102695000,102695000,102695000,40 -42,EUTAW,ST,,2128,995,CM,0,0,0,0,2058.0,1850,2007,0.0,0.0,3.0,R,,,,,,,,,,,,,,,,,,,,,,,,DX,2.0,0.0,0.0,F,A,,,,,,,,,,,,,,,,,,,,42.3790914,-71.0382391
2936,102730000,102730000,102730000,22,MARION,ST,,2128,995,CM,0,0,0,0,1750.0,1880,2016,0.0,0.0,2.0,R,,,,,,,,,,,,,,,,,,,,,,,,FS,2.0,0.0,0.0,M,G,,,,,,,,,,,,,,,,,,,,42.3801852,-71.03852719999999
3013,102801000,102801000,102801000,86,EUTAW,ST,,2128,995,CM,0,0,0,0,2500.0,1870,2014,0.0,0.0,3.0,R,SD,F,F,13.0,3.0,3.0,0.0,M,M,M,3.0,M,M,M,W,C,0.0,G,G,G,N,A,,SD,3.0,0.0,0.0,F,G,,,,,,,,,,,,,,,,,,,,42.3798416,-71.03633549999999
3025,102810000,102810000,102810000,66,EUTAW,ST,,2128,995,CM,0,0,0,0,2500.0,1870,2005,0.0,0.0,2.5,R,CV,G,B,8.0,4.0,2.0,2.0,M,M,M,2.0,M,M,,W,N,0.0,A,G,G,N,A,,FS,2.0,0.0,0.0,B,A,,,,,,,,,,,,,,,,,,,,42.379634,-71.03710199999999
3039,102822000,102822000,102822000,64 66,MARION,ST,,2128,995,CM,0,0,0,0,3265.0,1899,2015,0.0,0.0,3.0,R,,,,,,,,,,,,,,,,,,,,,,,,FS,2.0,0.0,0.0,B,G,,,,,,,,,,,,,,,,,,,,42.3788735,-71.0374971
3055,102836000,102836000,102836000,83,EUTAW,ST,,2128,995,CM,0,0,0,0,2500.0,1880,2007,0.0,0.0,3.0,R,,,,,,,,,,,,,,,,,,,,,,,,RE,3.0,0.0,0.0,M,A,,,,,,,,,,,,,,,,,,,,42.3795952,-71.03619619999999
3089,102865000,102865000,102865000,62 R62,TRENTON,ST,,2128,995,CM,0,0,0,0,3000.0,1920,2006,0.0,0.0,3.0,R,,,,,,,,,,,,,,,,,,,,,,,,DK,3.0,0.0,0.0,M,A,,,,,,,,,,,,,,,,,,,,42.3787603,-71.0371712
3090,102865000,102865000,102865000,62 R62,TRENTON,ST,,2128,995,CM,0,0,0,0,3000.0,1920,2006,0.0,0.0,1.5,R,,,,,,,,,,,,,,,,,,,,,,,,FS,1.0,0.0,0.0,M,A,,,,,,,,,,,,,,,,,,,,42.3787603,-71.0371712
3122,102892000,102892000,102892000,126,LEXINGTON,ST,,2128,995,CM,0,0,0,0,2500.0,1875,2005,0.0,0.0,3.0,R,,,,,,,,,,,,,,,,,,,,,,,,FS,3.0,0.0,0.0,W,A,,,,,,,,,,,,,,,,,,,,42.378724,-71.035442
3194,102950000,102950000,102950000,118,PRINCETON,ST,,2128,995,CM,0,0,0,0,2500.0,1875,2003,0.0,0.0,3.0,R,,,,,,,,,,,,,,,,,,,,,,,,FS,4.0,0.0,0.0,A,A,,,,,,,,,,,,,,,,,,,,42.377985,-71.035355
3248,103000000,103000000,103000000,176,PRINCETON,ST,,2128,995,CM,0,0,0,0,1725.0,1880,2007,0.0,0.0,3.0,R,,,,,,,,,,,,,,,,,,,,,,,,RM,3.0,0.0,0.0,F,A,,,,,,,,,,,,,,,,,,,,42.3787986,-71.0330681
3275,103024000,103024000,103024000,123,TRENTON,ST,,2128,995,CM,0,0,0,0,2265.0,1870,1994,0.0,0.0,3.0,R,SD,F,W,12.0,6.0,3.0,0.0,S,S,S,3.0,S,S,S,F,N,0.0,A,A,A,N,A,,SD,3.0,0.0,0.0,F,G,,,,,,,,,,,,,,,,,,,,42.3794125,-71.0344782
3287,103033000,103033000,103033000,147,TRENTON,ST,,2128,995,CM,0,0,0,0,2500.0,1880,2009,0.0,0.0,3.0,R,,,,,,,,,,,,,,,,,,,,,,,,DK,3.0,0.0,0.0,F,G,,,,,,,,,,,,,,,,,,,,42.379709,-71.03362
3309,103052000,103052000,103052000,170,LEXINGTON,ST,,2128,995,CM,0,0,0,0,8073.0,1910,2008,0.0,0.0,3.0,D,,,,,,,,,,,,,,,,,,,,,,,,FS,4.0,0.0,0.0,F,G,,,,,,,,,,,,,,,,,,,,42.3792805,-71.03379869999999
3324,103063000,103063000,103063000,142,LEXINGTON,ST,,2128,995,CM,0,0,0,0,1120.0,1880,1997,0.0,0.0,3.0,R,RM,F,F,11.0,3.0,3.0,0.0,S,S,S,3.0,S,S,S,S,N,0.0,G,G,G,N,A,,RM,3.0,0.0,0.0,F,G,,,,,,,,,,,,,,,,,,,,42.378866,-71.0346988
3332,103068000,103068000,103068000,171,BROOKS,ST,,2128,995,CM,0,0,0,0,1771.0,1900,2006,0.0,0.0,3.0,R,,,,,,,,,,,,,,,,,,,,,,,,LR,3.0,0.0,0.0,M,G,,,,,,,,,,,,,,,,,,,,42.3796446,-71.03533039999999
3343,103072000,103072000,103072000,109,EUTAW,ST,,2128,995,CM,0,0,0,0,2500.0,1900,0,0.0,0.0,3.0,R,DK,M,P,15.0,6.0,3.0,0.0,S,S,S,3.0,S,S,S,W,N,0.0,F,A,A,N,A,,DK,3.0,0.0,0.0,A,A,,,,,,,,,,,,,,,,,,,,42.3798559,-71.03528
3382,103108000,103108000,103108000,140,TRENTON,ST,,2128,995,CM,0,0,0,0,2500.0,1900,2012,0.0,0.0,3.0,R,,,,,,,,,,,,,,,,,,,,,,,,DK,3.0,0.0,0.0,M,A,,,,,,,,,,,,,,,,,,,,42.379889,-71.03436599999999
3397,103120000,103120000,103120000,116,TRENTON,ST,,2128,995,CM,0,0,0,0,1087.0,1900,2004,0.0,0.0,3.0,R,,,,,,,,,,,,,,,,,,,,,,,,RM,3.0,0.0,0.0,M,A,,,,,,,,,,,,,,,,,,,,42.3795292,-71.0351295
3405,103122000,103122000,103122000,112,TRENTON,ST,,2128,995,CM,0,0,0,0,1087.0,1900,2016,0.0,0.0,3.0,R,,,,,,,,,,,,,,,,,,,,,,,,RM,3.0,0.0,0.0,A,G,,,,,,,,,,,,,,,,,,,,42.3794828,-71.0352532
3443,103157000,103157000,103157000,175,TRENTON,ST,,2128,995,CM,0,0,0,0,3333.0,1900,1993,0.0,0.0,3.0,R,,,,,,,,,,,,,,,,,,,,,,,,FS,3.0,0.0,0.0,M,A,,,,,,,,,,,,,,,,,,,,42.380246,-71.032181
3460,103171000,103171000,103171000,5,PRESCOTT,ST,,2128,995,CM,0,0,0,0,1793.0,1900,2005,0.0,0.0,3.0,R,,,,,,,,,,,,,,,,,,,,,,,,RE,3.0,0.0,0.0,M,A,,,,,,,,,,,,,,,,,,,,42.3806165,-71.031054
3483,103191000,103191000,103191000,208,LEXINGTON,ST,,2128,995,CM,0,0,0,0,2500.0,1900,2006,0.0,0.0,3.0,R,,,,,,,,,,,,,,,,,,,,,,,,RE,3.0,0.0,0.0,M,A,,,,,,,,,,,,,,,,,,,,42.379834,-71.03246399999999
3491,103196000,103196000,103196000,196 198,LEXINGTON,ST,,2128,995,CM,0,0,0,0,1500.0,1899,2002,0.0,0.0,3.0,D,,,,,,,,,,,,,,,,,,,,,,,,RE,4.0,0.0,0.0,F,G,,,,,,,,,,,,,,,,,,,,42.3796133,-71.03266459999999
3566,103250000,103250000,103250000,214 - 216,E EAGLE,ST,,2128,995,CM,0,0,0,0,4374.0,2014,0,0.0,0.0,3.0,R,,,,,,,,,,,,,,,,,,,,,,,,LR,8.0,0.0,0.0,C,G,,,,,,,,,,,,,,,,,,,,42.38154300000001,-71.032727
3628,103303000,103303000,103303000,154,FALCON,ST,,2128,995,CM,0,0,0,0,2187.0,1910,0,0.0,0.0,3.0,R,,,,,,,,,,,,,,,,,,,,,,,,DK,3.0,0.0,0.0,A,A,,,,,,,,,,,,,,,,,,,,42.3821524,-71.0325391
3689,103359000,103359000,103359000,227,BROOKS,ST,,2128,995,CM,0,0,0,0,1457.0,1900,2016,0.0,0.0,2.0,R,,,,,,,,,,,,,,,,,,,,,,,,FS,2.0,0.0,0.0,C,G,,,,,,,,,,,,,,,,,,,,42.3823961,-71.0358711
3718,103379003,103379003,103379003,61,PUTNAM,ST,,2128,995,CM,0,0,0,0,1120.0,1910,1997,0.0,0.0,3.0,R,,,,,,,,,,,,,,,,,,,,,,,,LR,3.0,0.0,0.0,B,G,,,,,,,,,,,,,,,,,,,,42.3809151,-71.0335032
3722,103380000,103380000,103380000,63,PUTNAM,ST,,2128,995,CM,0,0,0,0,1120.0,1875,2005,0.0,0.0,3.0,R,,,,,,,,,,,,,,,,,,,,,,,,DX,2.0,0.0,0.0,B,G,,,,,,,,,,,,,,,,,,,,42.3808642,-71.0335703
3734,103389000,103389000,103389000,95,FALCON,ST,,2128,995,CM,0,0,0,0,2362.0,1900,2016,0.0,0.0,2.0,R,,,,,,,,,,,,,,,,,,,,,,,,TH,2.0,0.0,0.0,M,A,,,,,,,,,,,,,,,,,,,,42.3819227,-71.035505
3853,103495000,103495000,103495000,437,MERIDIAN,ST,,2128,995,CM,0,0,0,0,2125.0,1893,2005,0.0,0.0,3.0,R,,,,,,,,,,,,,,,,,,,,,,,,DK,3.0,0.0,0.0,M,A,,,,,,,,,,,,,,,,,,,,42.3814815,-71.03898199999999
3861,103500000,103500000,103500000,447,MERIDIAN,ST,,2128,995,CM,0,0,0,0,2962.0,1910,2016,0.0,0.0,3.0,R,CV,G,M,7.0,5.0,5.0,1.0,M,M,M,2.0,M,M,,W,N,0.0,G,G,G,N,A,,FS,2.0,0.0,0.0,M,G,,,,,,,,,,,,,,,,,,,,42.38186839999999,-71.0390748
3937,103571000,103571000,103571000,87,CONDOR,ST,,2128,995,CM,0,0,0,0,2625.0,1890,0,0.0,0.0,3.0,R,TF,G,W,8.0,4.0,2.0,0.0,S,S,,2.0,S,S,,W,N,0.0,F,A,A,N,F,,FS,2.0,0.0,0.0,W,G,,,,,,,,,,,,,,,,,,,,42.382415,-71.036969
3966,103582010,103582010,103582010,5,CONDOR,ST,,2128,995,CM,0,0,0,0,1670.0,1899,2006,0.0,0.0,3.0,R,,,,,,,,,,,,,,,,,,,,,,,,LR,3.0,0.0,0.0,M,A,,,,,,,,,,,,,,,,,,,,42.3824385,-71.04001380000001
4024,103617000,103617000,103617000,402,MERIDIAN,ST,,2128,995,CM,0,0,0,0,6693.0,1910,2012,6258.0,4452.0,4.0,D,,,,,,,,,,,,,,,,,,,,,,,,FS,4.0,0.0,0.0,F,G,,,,,,,,,,,,,,,,,,,,42.3800028,-71.0394463
4048,103627000,103627000,103627000,364,MERIDIAN,ST,,2128,995,CM,0,0,0,0,2700.0,1910,2016,0.0,0.0,3.0,R,,,,,,,,,,,,,,,,,,,,,,,,DK,3.0,0.0,0.0,M,A,,,,,,,,,,,,,,,,,,,,42.3791283,-71.0395391
4089,103649010,103649010,103649010,328 330,MERIDIAN,ST,,2128,995,CM,0,0,0,0,4458.0,1900,2006,0.0,0.0,3.0,D,,,,,,,,,,,,,,,,,,,,,,,,LR,5.0,0.0,0.0,F,G,,,,,,,,,,,,,,,,,,,,42.3778802,-71.0393998
4274,103793000,103793000,103793000,144,BREMEN,ST,,2128,995,CM,0,0,0,0,1600.0,1910,2006,0.0,0.0,3.0,R,,,,,,,,,,,,,,,,,,,,,,,,RE,3.0,0.0,0.0,A,A,,,,,,,,,,,,,,,,,,,,42.372116,-71.035437
4361,103878000,103878000,103878000,21,CHELSEA,ST,,2128,995,CM,0,0,0,0,1720.0,1900,1999,0.0,0.0,4.0,C,,,,,,,,,,,,,,,,,,,,,,,,RM,4.0,0.0,0.0,B,A,,,,,,,,,,,,,,,,,,,,42.3703945,-71.0378398
4372,103885000,103885000,103885000,35,CHELSEA,ST,,2128,995,CM,0,0,0,0,1680.0,1910,2015,0.0,0.0,4.0,R,,,,,,,,,,,,,,,,,,,,,,,,RM,3.0,0.0,0.0,B,G,,,,,,,,,,,,,,,,,,,,42.37069899999999,-71.037486
4497,103965000,103965000,103965000,129,ORLEANS,ST,,2128,995,CM,0,0,0,0,2916.0,1900,2006,0.0,0.0,3.0,R,,,,,,,,,,,,,,,,,,,,,,,,FS,3.0,0.0,0.0,B,G,,,,,,,,,,,,,,,,,,,,42.37006299999999,-71.03577849999999
4535,103983010,103983010,103983010,16,FRANKFORT,ST,,2128,995,CM,0,0,0,0,1798.0,1905,2004,0.0,0.0,3.0,R,,,,,,,,,,,,,,,,,,,,,,,,DK,3.0,0.0,0.0,M,A,,,,,,,,,,,,,,,,,,,,42.3693154,-71.03596399999999
